# 
# 06/05/2021 21:23:55
# The parameters defined in the project are:
# ,P26 - K,P76 - Mesh Relevance,P125 - celda1.x,P126 - celda1.y,P127 - volumen.x,P128 - volumen.y,P129 - H,P130 - L,P131 - Diametro,P132 - celda1.offsety,P133 - celda1.ny,P134 - celda1.offsetx,P135 - celda1.nx,P136 - celda2.x,P137 - celda2.y,P138 - celda2.offsety,P139 - celda2.ny,P140 - celda2.offsetx,P141 - celda2.nx,P142 - e,P193 - Volumenpila,P194 - Current,P195 - Rint,P199 - Flujo,P200 - ex [m],P201 - diametro [m],P202 - ey [m],P203 - k,P278 - pgen [W m^-3],P279 - massflow [kg s^-1],P280 - t_viento [C],P204 - D01 [kg m^-3],P205 - D02 [kg m^-3],P206 - D03 [kg m^-3],P207 - D04 [kg m^-3],P248 - TF01 [K],P249 - TF02 [K],P250 - TF03 [K],P251 - TF04 [K],P281 - V01 [m s^-1],P282 - V02 [m s^-1],P283 - V03 [m s^-1],P284 - V04 [m s^-1],P296 - P01 [Pa],P297 - P02 [Pa],P298 - P03 [Pa],P299 - P04 [Pa],P311 - TC01 [K],P312 - TC02 [K],P313 - TC03 [K]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P26,P76,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P193,P194,P195,P199,P200,P201,P202,P203,P278,P279,P280,P204,P205,P206,P207,P248,P249,P250,P251,P281,P282,P283,P284,P296,P297,P298,P299,P311,P312,P313
DP 10,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,3.061,0.032,50.75,0.03,0.0205,0.015,0.6,13975.446029771139,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.008,287.143,287.267,287.403,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,288.05,288.277,288.468
DP 11,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,3.367,0.032,50.75,0.03,0.0205,0.015,0.6,16909.285268558171,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.03,287.194,287.344,287.509,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,288.291,288.567,288.798
DP 12,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,3.673,0.032,50.75,0.03,0.0205,0.015,0.6,20122.450831884355,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.055,287.249,287.428,287.625,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,288.556,288.883,289.158
DP 13,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,3.98,0.032,50.75,0.03,0.0205,0.015,0.6,23626.813999049355,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.082,287.31,287.52,287.751,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,288.844,289.229,289.551
DP 14,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,4.286,0.032,50.75,0.03,0.0205,0.015,0.6,27399.545042579783,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.111,287.376,287.619,287.887,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,289.154,289.601,289.975
DP 15,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,4.592,0.032,50.75,0.03,0.0205,0.015,0.6,31451.602410649361,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.142,287.446,287.725,288.033,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,289.488,290,290.43
DP 16,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,4.898,0.032,50.75,0.03,0.0205,0.015,0.6,35782.9861032581,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.175,287.521,287.839,288.189,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,289.844,290.427,290.916
DP 17,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,5.204,0.032,50.75,0.03,0.0205,0.015,0.6,40393.696120405977,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.211,287.601,287.96,288.355,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,290.223,290.881,291.433
DP 18,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,5.51,0.032,50.75,0.03,0.0205,0.015,0.6,45283.732462093023,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.248,287.686,288.088,288.531,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,290.626,291.363,291.982
DP 19,0.6,-50,30,25.25,4.75,148.9,148.9,215.43379946477754,20.5,32.800000000000004,3,56.811266488259179,3,58.405633244129589,41.650000000000006,32.800000000000004,2,56.811266488259179,2,15,2.1454132580905545E-05,5.816,0.032,50.75,0.03,0.0205,0.015,0.6,50453.095128319204,0.44364819191380139,13.75,1.225,1.225,1.225,1.225,287.288,287.776,288.224,288.717,5.25402,4.34238,4.14035,3.86375,29.6026,18.4266,8.1683,-0.429426,291.051,291.873,292.562
